Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
01-01-2021,KOTAKBANK,EQ,1995.6,1996.9,2007.95,1990.7,1993.2,1994.05,1998.31,1106099,2.21E+14,34245,286907,0.2594
04-01-2021,KOTAKBANK,EQ,1994.05,2004,2005.95,1955,1970,1965.55,1970.29,3141429,6.19E+14,123364,1413334,0.4499
05-01-2021,KOTAKBANK,EQ,1965.55,1959.5,1964.4,1935,1960.15,1959.75,1949.97,3263230,6.36E+14,117099,1403507,0.4301
06-01-2021,KOTAKBANK,EQ,1959.75,1973.9,1979,1948.4,1969.95,1970.4,1966.12,3452515,6.79E+14,105749,1664533,0.4821
07-01-2021,KOTAKBANK,EQ,1970.4,1984,1984,1947.5,1953.55,1952.4,1959.76,3419317,6.70E+14,84251,1604889,0.4694
08-01-2021,KOTAKBANK,EQ,1952.4,1972,1976,1946.25,1969.9,1970.7,1962.11,3262897,6.40E+14,82858,1733152,0.5312
11-01-2021,KOTAKBANK,EQ,1970.7,1960,1966.9,1935.4,1939.5,1938.15,1950.73,2995521,5.84E+14,85280,1596797,0.5331
12-01-2021,KOTAKBANK,EQ,1938.15,1929.8,1930.1,1895.85,1906.8,1903.45,1907.07,6035580,1.15E+15,209095,4104074,0.68
13-01-2021,KOTAKBANK,EQ,1903.45,1911,1911,1877,1880,1882.1,1885.87,5583130,1.05E+15,212013,3885206,0.6959
14-01-2021,KOTAKBANK,EQ,1882.1,1892,1905,1871.05,1894.25,1892.65,1894.8,4803638,9.10E+14,111548,3028209,0.6304
15-01-2021,KOTAKBANK,EQ,1892.65,1894.2,1904,1854.05,1868,1863.9,1868.24,2715164,5.07E+14,106977,1218291,0.4487
18-01-2021,KOTAKBANK,EQ,1863.9,1870.5,1872.25,1838.85,1841.1,1846.95,1848.3,5004628,9.25E+14,107986,1542649,0.3082
19-01-2021,KOTAKBANK,EQ,1846.95,1856.1,1892,1845.25,1888.8,1887,1871,4805514,8.99E+14,115766,3374148,0.7021
20-01-2021,KOTAKBANK,EQ,1887,1890,1890,1869.45,1880.9,1883.6,1878.33,3041448,5.71E+14,122006,1586357,0.5216
21-01-2021,KOTAKBANK,EQ,1883.6,1900,1904.9,1845.75,1863.9,1857.8,1888.05,5668862,1.07E+15,118538,3693211,0.6515
22-01-2021,KOTAKBANK,EQ,1857.8,1850,1875,1824.5,1829.3,1828,1838.13,4298175,7.90E+14,99962,2076355,0.4831
25-01-2021,KOTAKBANK,EQ,1828,1845,1867.4,1775,1792.95,1794.4,1828.52,6610138,1.21E+15,249406,2282759,0.3453
27-01-2021,KOTAKBANK,EQ,1794.4,1798,1823.45,1746.35,1767,1764.7,1784.49,7892319,1.41E+15,321252,4855035,0.6152
28-01-2021,KOTAKBANK,EQ,1764.7,1731,1764.45,1701,1727,1722.85,1717.75,6035924,1.04E+15,224205,3009490,0.4986
29-01-2021,KOTAKBANK,EQ,1722.85,1749.85,1749.85,1704,1710.55,1712.95,1723.6,5140687,8.86E+14,164851,3137454,0.6103
01-02-2021,KOTAKBANK,EQ,1712.95,1730,1809.8,1696.05,1807.95,1801.5,1753.04,4829210,8.47E+14,185522,2134845,0.4421
02-02-2021,KOTAKBANK,EQ,1801.5,1830,1879.1,1800.05,1865,1861.3,1852.5,5871337,1.09E+15,201319,3235423,0.5511
03-02-2021,KOTAKBANK,EQ,1861.3,1870,1883.15,1820,1854,1852.2,1856.1,4289395,7.96E+14,141816,1679909,0.3916
04-02-2021,KOTAKBANK,EQ,1852.2,1839,1915,1831,1912,1910.4,1892.46,9641674,1.82E+15,189884,4352275,0.4514
05-02-2021,KOTAKBANK,EQ,1910.4,1915,1998.5,1913.15,1990,1982.7,1975.93,16268336,3.21E+15,233945,6485686,0.3987
08-02-2021,KOTAKBANK,EQ,1982.7,2000,2030,1951.5,1955.1,1957.15,1985.12,4021475,7.98E+14,137760,1205107,0.2997
09-02-2021,KOTAKBANK,EQ,1957.15,1960,1975,1937.85,1950,1949.15,1957.42,2230923,4.37E+14,87454,959578,0.4301
10-02-2021,KOTAKBANK,EQ,1949.15,1950,1962.9,1937,1955,1952.05,1945.72,2860941,5.57E+14,97632,1498323,0.5237
11-02-2021,KOTAKBANK,EQ,1952.05,1949.2,1984.75,1941.25,1963,1961,1964.38,2246777,4.41E+14,104862,767820,0.3417
12-02-2021,KOTAKBANK,EQ,1961,1960,1975,1946,1950.5,1951.05,1956.23,1690753,3.31E+14,68300,672231,0.3976
15-02-2021,KOTAKBANK,EQ,1951.05,1960,1999,1957,1990.15,1985.95,1985.35,2930435,5.82E+14,146156,1398623,0.4773
16-02-2021,KOTAKBANK,EQ,1985.95,2000,2049,1998,2023.9,2019.65,2028.69,5480183,1.11E+15,154047,2171263,0.3962
17-02-2021,KOTAKBANK,EQ,2019.65,2015.1,2023.5,1969.15,1988.95,1989.45,2002.36,4395224,8.80E+14,129674,2241551,0.51
18-02-2021,KOTAKBANK,EQ,1989.45,1979.15,1984.85,1938.1,1948,1945.45,1952.63,3538208,6.91E+14,98738,2009851,0.568
19-02-2021,KOTAKBANK,EQ,1945.45,1942.25,1969.85,1925.1,1943.25,1938.75,1946.55,2735683,5.33E+14,81593,1165692,0.4261
22-02-2021,KOTAKBANK,EQ,1938.75,1938.75,1962.05,1921.6,1939.25,1949.6,1946.93,3853276,7.50E+14,136185,2273518,0.59
23-02-2021,KOTAKBANK,EQ,1949.6,1965,1965,1866,1874,1872.95,1896.39,5572402,1.06E+15,171203,2764191,0.4961
24-02-2021,KOTAKBANK,EQ,1872.95,1889.1,1924,1852.05,1919.95,1911.2,1886.47,3821416,7.21E+14,99089,1978628,0.5178
25-02-2021,KOTAKBANK,EQ,1911.2,1927,1965.2,1887.55,1892.2,1895.5,1919.22,5622516,1.08E+15,141965,3013320,0.5359
26-02-2021,KOTAKBANK,EQ,1895.5,1869,1869,1773,1791.4,1780.35,1803.22,8400096,1.51E+15,266458,4815191,0.5732
01-03-2021,KOTAKBANK,EQ,1780.35,1811,1854.9,1801.4,1846.4,1845.4,1831.73,3260044,5.97E+14,115805,1509783,0.4631
02-03-2021,KOTAKBANK,EQ,1845.4,1845,1868.4,1820.1,1851.2,1844.65,1840.17,3837149,7.06E+14,105084,2253657,0.5873
03-03-2021,KOTAKBANK,EQ,1844.65,1855,1908.75,1851.2,1894.9,1899.5,1886.15,2875618,5.42E+14,111862,1598901,0.556
04-03-2021,KOTAKBANK,EQ,1899.5,1863.9,1910.4,1850,1897,1897.7,1888.92,4022514,7.60E+14,124290,2293432,0.5701
05-03-2021,KOTAKBANK,EQ,1897.7,1875.5,1928.3,1868,1920.05,1922.5,1903.44,5407986,1.03E+15,170804,2863127,0.5294
08-03-2021,KOTAKBANK,EQ,1922.5,1920,1947.85,1893.3,1914,1915.85,1924.13,4698010,9.04E+14,152331,2797333,0.5954
09-03-2021,KOTAKBANK,EQ,1915.85,1917.8,1991,1917.8,1974.95,1978.95,1956.59,7918345,1.55E+15,231191,3762479,0.4752
10-03-2021,KOTAKBANK,EQ,1978.95,1983.25,1999.35,1957.2,1960.9,1963.95,1975.44,2761470,5.46E+14,99853,982382,0.3557
12-03-2021,KOTAKBANK,EQ,1963.95,1979,1980,1912,1930.8,1935.15,1946.5,2620265,5.10E+14,82972,1297346,0.4951
15-03-2021,KOTAKBANK,EQ,1935.15,1944,1944,1893.1,1917,1918.65,1908.27,2643554,5.04E+14,94957,1293979,0.4895
16-03-2021,KOTAKBANK,EQ,1918.65,1925.1,1941.7,1900,1904,1903.2,1919.53,2769224,5.32E+14,107140,1345123,0.4857
17-03-2021,KOTAKBANK,EQ,1903.2,1903.2,1917.7,1861,1867.4,1868.35,1886.81,2694994,5.08E+14,93490,1272815,0.4723
18-03-2021,KOTAKBANK,EQ,1868.35,1881,1892.9,1825.1,1831.85,1830.4,1852.07,2197575,4.07E+14,79468,847767,0.3858
19-03-2021,KOTAKBANK,EQ,1830.4,1818.45,1872,1814.05,1827,1834.15,1842.34,4803016,8.85E+14,116159,2121476,0.4417
22-03-2021,KOTAKBANK,EQ,1834.15,1833,1849.95,1805,1825,1822.65,1826.38,2434097,4.45E+14,100372,1089779,0.4477
23-03-2021,KOTAKBANK,EQ,1822.65,1844,1844,1798.85,1815,1812.65,1814.24,4250856,7.71E+14,140964,2237095,0.5263
24-03-2021,KOTAKBANK,EQ,1812.65,1800,1805,1773.35,1782,1782.45,1785.18,3046161,5.44E+14,135248,1511852,0.4963
25-03-2021,KOTAKBANK,EQ,1782.45,1792.9,1798.8,1745,1764,1762.9,1764.02,4113013,7.26E+14,192520,1855274,0.4511
26-03-2021,KOTAKBANK,EQ,1762.9,1785,1792.4,1762.75,1776.75,1771.05,1779.41,3310757,5.89E+14,160666,2021894,0.6107
30-03-2021,KOTAKBANK,EQ,1771.05,1782.1,1801.95,1775,1783.95,1781.25,1784.77,5575571,9.95E+14,162547,4203635,0.7539
31-03-2021,KOTAKBANK,EQ,1781.25,1778.8,1779,1742.6,1755.4,1753,1754.94,3798383,6.67E+14,129292,2475960,0.6518
01-04-2021,KOTAKBANK,EQ,1753,1770,1813.25,1750.65,1804,1804.55,1780.25,3802652,6.77E+14,111166,2124943,0.5588
05-04-2021,KOTAKBANK,EQ,1804.55,1786.1,1799.6,1734.4,1761,1759.2,1758.64,2448241,4.31E+14,117404,1082397,0.4421
06-04-2021,KOTAKBANK,EQ,1759.2,1776,1781.45,1728.7,1764.4,1768.3,1762.92,2873045,5.06E+14,105266,1322803,0.4604
07-04-2021,KOTAKBANK,EQ,1768.3,1766.05,1810.7,1745.6,1790.1,1792,1785.88,3158142,5.64E+14,153048,1426569,0.4517
08-04-2021,KOTAKBANK,EQ,1792,1796,1823.7,1778.7,1783.65,1783.25,1799.43,2890290,5.20E+14,98066,1205524,0.4171
09-04-2021,KOTAKBANK,EQ,1783.25,1770,1806.45,1744.1,1794.8,1799.25,1788.11,3139384,5.61E+14,97446,1478152,0.4708
12-04-2021,KOTAKBANK,EQ,1799.25,1757.25,1768,1723.3,1740,1742.5,1739.06,3328336,5.79E+14,151093,1773550,0.5329
13-04-2021,KOTAKBANK,EQ,1742.5,1745.8,1786.05,1723.45,1777,1775.85,1753.75,3118742,5.47E+14,119311,1590289,0.5099
15-04-2021,KOTAKBANK,EQ,1775.85,1800,1809.5,1752.6,1774.25,1773.25,1774.6,3546886,6.29E+14,131698,1699454,0.4791
16-04-2021,KOTAKBANK,EQ,1773.25,1774,1788.15,1760.05,1763.2,1764.1,1771.93,2912279,5.16E+14,125051,1927232,0.6618
19-04-2021,KOTAKBANK,EQ,1764.1,1720,1720,1675,1702,1700.75,1694.07,3865423,6.55E+14,154039,2045696,0.5292
20-04-2021,KOTAKBANK,EQ,1700.75,1725,1733.6,1684.35,1695,1697.7,1713.85,3317008,5.68E+14,101531,1837843,0.5541
22-04-2021,KOTAKBANK,EQ,1697.7,1689.75,1739.75,1669.2,1734,1736.05,1715.73,3590444,6.16E+14,196598,1514228,0.4217
23-04-2021,KOTAKBANK,EQ,1736.05,1733.9,1756.35,1720.25,1730.35,1734.2,1740.27,1893450,3.30E+14,77912,813232,0.4295
26-04-2021,KOTAKBANK,EQ,1734.2,1740,1783,1733.3,1761.85,1759.65,1766.82,3253062,5.75E+14,94734,1795465,0.5519
27-04-2021,KOTAKBANK,EQ,1759.65,1750,1762.6,1724.55,1753.05,1750.3,1740.41,4533360,7.89E+14,133983,2353189,0.5191
28-04-2021,KOTAKBANK,EQ,1750.3,1762.5,1824,1754,1815,1811.45,1798,4174599,7.51E+14,118297,2170192,0.5199
29-04-2021,KOTAKBANK,EQ,1811.45,1825.1,1845.45,1780.55,1802.6,1805,1811.62,3960095,7.17E+14,148490,1482157,0.3743
30-04-2021,KOTAKBANK,EQ,1805,1780,1802,1739.45,1743.75,1748.8,1775.65,2621783,4.66E+14,105233,1075787,0.4103
